,date,book_to_price_ratio_predict,leverage_predict,earnings_yield_predict,beta_predict,growth_predict,residual_volatility_predict,non_linear_size_predict,liquidity_predict,momentum_predict,size_predict
119,2020-07-01,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595,1.0175595
120,2020-08-03,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246,1.0069246
121,2020-09-01,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127,0.9704127
122,2020-10-09,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637,0.8570637
123,2020-11-02,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291,1.1113291
124,2020-12-01,0.996655,0.996655,0.996655,0.996655,0.996655,0.996655,0.996655,0.996655,0.996655,0.996655
125,2018-12-03,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242,0.8869242
126,2019-01-02,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453,0.90182453
127,2019-02-01,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773,0.89733773
128,2019-03-01,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884,0.99071884
129,2019-04-01,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765,1.0415765
130,2019-05-06,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449,0.8235449
131,2019-06-03,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279,1.2280279
132,2019-07-01,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584,0.94483584
133,2019-08-01,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196,0.8816196
134,2019-09-02,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377,0.94497377
135,2019-10-08,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801,1.0525801
136,2019-11-01,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943,0.93299943
137,2019-12-02,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794,0.76761794
138,2020-01-02,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091,1.0134091
139,2020-02-03,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876,0.88540876
140,2020-03-02,1.056119,1.056119,1.056119,1.056119,1.056119,1.056119,1.056119,1.056119,1.056119,1.056119
141,2020-04-01,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956,0.99936956
142,2020-05-06,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584,0.92666584
143,2020-06-01,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425,0.98338425
144,2020-07-01,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543,1.1352543
145,2020-08-03,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108,1.0121108
146,2020-09-01,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623,0.8463623
147,2020-10-09,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251,0.7227251
148,2020-11-02,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012,1.0001012
149,2020-12-01,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978,1.0836978
150,2018-12-03,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116,0.91786116
151,2019-01-02,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876,1.0421876
152,2019-02-01,1.013535,1.013535,1.013535,1.013535,1.013535,1.013535,1.013535,1.013535,1.013535,1.013535
153,2019-03-01,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658,0.8085658
154,2019-04-01,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137,0.9893137
155,2019-05-06,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468,0.7518468
156,2019-06-03,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745,1.1204745
157,2019-07-01,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187,0.96929187
